Timestamp,Untitled Question,"Do you consider yourself a musician? 
or
Did you play in instrument growing up?",How frequently do you play / practice,How many SETS did you find?,Enter your age,Enter your Major,Enter your GPA,"Number of instruments you can play:

(instruments you can play confidently, and you understand the instrument)",When was the last time you read sheet music?,STEM
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
10/27/2023 0:46:38,,No,,6,23,Digital Media Art,3,,,no
10/27/2023 16:13:02,,No,,6,20,Aerospace Engineering,3.7,,,yes
10/27/2023 16:48:32,,No,,3,19,Civil Engineering,3,,,yes
10/27/2023 17:44:11,,Yes,A few times a week,4,20,Computer Engineering,3.01,1,"A long time ago, > 1 year",yes
10/27/2023 18:16:46,,No,,1,18,Data Science,3.64,,,yes
10/27/2023 19:00:59,,Yes,A few times a week,7,21,Aviation,3.35,3,This week,yes
10/27/2023 19:28:19,,Yes,A few times a year,4,18,Aerospace Engineering,3.2,2,"A long time ago, > 1 year",yes
10/27/2023 19:39:20,,Yes,A few times a month,7,19,Aerospace Engineering,3.5,1,"A long time ago, > 1 year",yes
10/27/2023 20:00:47,,No,,2,18,Engineering Technology,3.2,,,yes
10/27/2023 20:13:20,,No,,1,18,Digital Media Art,3,,,no
10/27/2023 20:44:36,,Yes,A few times a year,8,19,Statistics,3.87,5,This year,yes
10/27/2023 21:00:51,,No,,1,26,Urban Planner,3.8,,,no
10/27/2023 21:20:20,,No,,1,19,Data Science,3.7,,,yes
10/27/2023 21:42:18,,Yes,"Not for a long time, > 1 year ago",4,19,Aerospace Engineering,3.2,1,"A long time ago, > 1 year",yes
10/27/2023 22:05:14,,Yes,A few times a week,2,18,Psychology,3,1,This week,no
10/28/2023 21:06:34,,Yes,"Not for a long time, > 1 year ago",8,20,Computer Network Management,3.95,4,"A long time ago, > 1 year",yes
10/28/2023 21:29:23,,Yes,"Not for a long time, > 1 year ago",5,21,Math,3.3,1,"A long time ago, > 1 year",yes
10/28/2023 21:41:37,,No,,5,18,Nutritional Science,3.8,,,no
10/28/2023 22:09:02,,No,,1,22,Marketing,3.9,,,no
10/28/2023 22:25:06,,No,,0,20,Communication Studies,4,,,no
10/29/2023 15:15:50,,Yes,A few times a week,10,18,Aerospace Engineering,4,1,This week,yes
10/29/2023 15:43:41,,No,,1,20,Political Science ,3.5,,,no
10/29/2023 16:06:18,,No,,3,23,Data Analytics,3.4,,,yes
10/29/2023 16:25:03,,No,,2,19,Psychology,2,,,no
10/30/2023 13:32:30,,Yes,A few times a month,9,23,Chemical Engineering,3.42,1,This month,yes
10/30/2023 13:42:18,,No,,2,31,Math,3.9,,,yes
10/30/2023 13:49:43,,No,,4,22,Bioinformatics,3.7,,,yes
10/30/2023 15:08:48,,No,,3,24,Computer Science,3.9,,,yes
10/30/2023 15:41:49,,Yes,"Not for a long time, > 1 year ago",8,21,Data Science,3.5,2,"A long time ago, > 1 year",yes
10/30/2023 15:47:59,,Yes,"Not for a long time, > 1 year ago",8,18,Computer Science,4,3,This year,yes
10/30/2023 16:25:55,,No,,3,23,Software Engineering,3.6,,,yes
10/30/2023 16:36:04,,No,,4,26,Software Engineering,3.7,,,yes
